PheWAS_Category	Ethnicity	Description	Data_Field	Independent_Var	Samples	-log(p)	p-val	beta	std_error	Category	Gene
example	White	Leg predicted mass (right)	f.23114.0.0	rs6426192_2	903/969	19.71088539458269	1.9458735079559192e-20	3.3040806586493208	0.3243178496986698	Body composition by impedance	DDX11L1, DDX11L17
example	White	Leg fat-free mass (right)	f.23113.0.0	rs6426192_2	905/969	19.529965176898973	2.951445873415687e-20	3.6277004844376206	0.3581359018527277	Body composition by impedance	DDX11L1, DDX11L17
example	White	Method of measuring blood pressure	f.4081.0.1	rs6426192_2	914/969	19.11472414447241	7.678490574967749e-20	0.4304003117320247	0.0431131414924917	Blood pressure	DDX11L1, DDX11L17
example	White	Arm fat-free mass (left)	f.23125.0.0	rs6426192_2	903/969	18.59585932437078	2.5359499363073164e-19	1.3276086219859031	0.1350611098807116	Body composition by impedance	DDX11L1, DDX11L17
example	White	Forced vital capacity (FVC)	f.3062.0.0	rs6426192_2	834/969	17.492504841507383	3.2173266657935783e-18	1.698183395720858	0.1781193369931227	Spirometry	DDX11L1, DDX11L17
example	White	Arm predicted mass (left)	f.23126.0.0	rs6426192_2	904/969	16.27994928932094	5.24868743313725e-17	1.22343796438925	0.1351443628893964	Body composition by impedance	DDX11L1, DDX11L17
example	White	Whole body fat-free mass	f.23101.0.0	rs6426192_2	904/969	15.919191738657924	1.2045040409648486e-16	17.375563472259497	1.9450305021260528	Body composition by impedance	DDX11L1, DDX11L17
example	White	Method of measuring blood pressure	f.4081.0.0	rs6426192_2	915/969	15.43196133227168	3.698611091699307e-16	0.475670694514695	0.0543108963851532	Blood pressure	DDX11L1, DDX11L17
example	White	Forced expiratory volume in 1-second (FEV1)	f.3063.0.1	rs6426192_2	831/969	15.350108283297711	4.465722337408769e-16	1.2868860168127532	0.1460282693345594	Spirometry	DDX11L1, DDX11L17
example	White	Body fat percentage	f.23099.0.0	rs6426192_2	905/969	14.590578562722222	2.5669738073358602e-15	13.521486729980271	1.5945293914385918	Body composition by impedance	DDX11L1, DDX11L17
example	White	Arm fat-free mass (right)	f.23121.0.0	rs6426192_2	903/969	13.252534047127636	5.590696967961352e-14	1.1969852833863506	0.1496241806471628	Body composition by impedance	DDX11L1, DDX11L17
example	White	Weight method	f.21.0.0	rs6426192_2	915/969	12.967494673008716	1.0777184727471565e-13	0.4514786664973017	0.0572018944493322	Body size measures	DDX11L1, DDX11L17
example	White	Whole body fat mass	f.23100.0.0	rs6426192_2	904/969	11.288701482402894	5.1439710720387986e-12	11.640547502498956	1.6004640649888884	Body composition by impedance	DDX11L1, DDX11L17
example	White	Forced vital capacity (FVC)	f.3062.0.1	rs6426192_2	834/969	11.099431896862146	7.953679800085017e-12	1.2990727111170364	0.1794794500309664	Spirometry	DDX11L1, DDX11L17
example	White	Leg fat percentage (left)	f.23115.0.0	rs6426192_2	903/969	10.756351905689504	1.752459920729239e-11	14.18018129124227	2.0047009945909697	Body composition by impedance	DDX11L1, DDX11L17
example	White	Peak expiratory flow (PEF)	f.3064.0.0	rs6426192_2	831/969	10.257423857016654	5.528103213041445e-11	170.50816961349636	24.657299436487584	Spirometry	DDX11L1, DDX11L17
example	White	Forced expiratory volume in 1-second (FEV1)	f.3063.0.0	rs6426192_2	832/969	10.143966242436852	7.178500873472552e-11	0.978675048698848	0.1427122222047954	Spirometry	DDX11L1, DDX11L17
example	White	Hand grip strength (right)	f.47.0.0	rs6426192_2	913/969	9.66265920978595	2.1744067632446222e-10	12.787346068097309	1.9277779402483672	Hand grip strength	DDX11L1, DDX11L17
example	White	Trunk fat mass	f.23128.0.0	rs6426192_2	902/969	9.661544317772474	2.1799959271866136e-10	5.851652024788931	0.8820702630836242	Body composition by impedance	DDX11L1, DDX11L17
example	White	Leg fat mass (left)	f.23116.0.0	rs6426192_2	905/969	9.135135888639624	7.325952717616132e-10	2.25371926549062	0.3509311589522804	Body composition by impedance	DDX11L1, DDX11L17
example	White	Arm predicted mass (right)	f.23122.0.0	rs6426192_2	904/969	8.242899710119037	5.716106211776208e-09	0.8468692011251973	0.1400156173351592	Body composition by impedance	DDX11L1, DDX11L17
example	White	Arm fat percentage (left)	f.23123.0.0	rs6426192_2	903/969	8.115774206890727	7.659947500851308e-09	10.6797076957402	1.7823865375211805	Body composition by impedance	DDX11L1, DDX11L17
example	White	Pulse rate	f.4194.0.0	rs6426192_2	290/969	8.02744082172368	9.387699475823916e-09	22.089035066405312	3.2785263524958896	Arterial stiffness	DDX11L1, DDX11L17
example	White	Arm fat percentage (right)	f.23119.0.0	rs6426192_2	903/969	7.956003666242029	1.1066144420825416e-08	11.063310927723215	1.8673912579582217	Body composition by impedance	DDX11L1, DDX11L17
example	White	Forced vital capacity (FVC)	f.3062.0.2	rs6426192_2	620/969	7.919468482402207	1.2037367441452625e-08	1.3601575600420053	0.2251830819713632	Spirometry	DDX11L1, DDX11L17
example	White	Forced expiratory volume in 1-second (FEV1)	f.3063.0.2	rs6426192_2	631/969	7.756981020458677	1.749923162111267e-08	0.991176041900775	0.1666740278677345	Spirometry	DDX11L1, DDX11L17
example	White	Hand grip strength (left)	f.46.0.0	rs6426192_2	913/969	6.634055581905725	2.322439546721219e-07	11.253897659879827	2.1132431152729603	Hand grip strength	DDX11L1, DDX11L17
example	White	Leg fat percentage (right)	f.23111.0.0	rs6426192_2	905/969	6.252366626844233	5.592852594030698e-07	9.870151982237797	1.9174726719355808	Body composition by impedance	DDX11L1, DDX11L17
example	White	Leg fat mass (right)	f.23112.0.0	rs6426192_2	903/969	5.642354065492054	2.2784837444326744e-06	1.5753152948544782	0.3250435284184539	Body composition by impedance	DDX11L1, DDX11L17
example	White	Arm fat mass (left)	f.23124.0.0	rs6426192_2	903/969	5.261450901305235	5.4770801800174905e-06	0.4392680230489347	0.0944147425537872	Body composition by impedance	DDX11L1, DDX11L17
example	White	Arm fat mass (right)	f.23120.0.0	rs6426192_2	903/969	4.9779979938124645	1.0519667332855502e-05	0.5298625553361752	0.1176491261898229	Body composition by impedance	DDX11L1, DDX11L17
example	White	Peak expiratory flow (PEF)	f.3064.0.1	rs6426192_2	833/969	4.893603364261165	1.2776050969676357e-05	107.1775172492564	23.98390284442579	Spirometry	DDX11L1, DDX11L17
example	White	Peak expiratory flow (PEF)	f.3064.0.2	rs6426192_2	624/969	4.3285002359458336	4.693531793244154e-05	137.90125996814774	32.84961618191902	Spirometry	DDX11L1, DDX11L17
example	White	Overall acceleration average	f.90012.0.0	rs6426192_2	201/969	1.3408864608995987	0.0456156154836862	13.594038662965996	6.376886381142697	Acceleration averages	DDX11L1, DDX11L17
example	White	Heel bone mineral density (BMD) T-score, automated	f.78.0.0	rs6426192_2	529/969	0.6595764448258379	0.2189896327021017	-0.3630304289649045	0.2938389122261806	Bone-densitometry of heel	DDX11L1, DDX11L17
example	White	Heel bone mineral density (BMD) T-score, automated (left)	f.4106.0.0	rs6426192_2	275/969	0.3618177705213796	0.4346925824313916	0.3026299359634996	0.3826757732637896	Bone-densitometry of heel	DDX11L1, DDX11L17
example	White	Heel bone mineral density (BMD) T-score, automated (right)	f.4125.0.0	rs6426192_2	276/969	0.2926806676737792	0.5097055145979648	0.3816651861938084	0.5727992097007103	Bone-densitometry of heel	DDX11L1, DDX11L17
example	White	Pulse wave Arterial Stiffness index	f.21021.0.0	rs6426192_2	293/969	0.2354084405893021	0.5815560249655018	0.819703112665287	1.476834441122021	Arterial stiffness	DDX11L1, DDX11L17
example	White	Sources of admission to hospital (recoded)	f.41251.0.0	rs6426192_2	755/969	inf	0.0	399.96184979456336	0.0234156842590848	Summary Administration	DDX11L1, DDX11L17
example	White	Destinations on discharge from hospital (recoded)	f.41248.0.0	rs6426192_2	745/969	inf	0.0	400.05034623213857	0.0293517700192235	Summary Administration	DDX11L1, DDX11L17
example	White	Methods of discharge from hospital (recoded)	f.41250.0.0	rs6426192_2	750/969	inf	0.0	400.04798941286623	0.0328228417303637	Summary Administration	DDX11L1, DDX11L17
example	White	Patient classification on admission (recoded)	f.41247.0.1	rs6426192_2	432/969	245.4463264855776	3.57827335392749e-246	800.0407236558435	0.1425230445802615	Summary Administration	DDX11L1, DDX11L17
example	White	Hospital episode type	f.41231.0.0	rs6426192_2	660/969	71.33515729929992	4.622135796196421e-72	0.4211324969118587	0.0130781482293448	Summary Administration	DDX11L1, DDX11L17
example	White	Main speciality of consultant (recoded)	f.41245.0.1	rs6426192_2	500/969	25.09888006203093	7.963792540226253e-26	730.5056670450592	53.87094130225657	Summary Administration	DDX11L1, DDX11L17
example	White	Methods of admission to hospital (recoded)	f.41249.0.0	rs6426192_2	750/969	19.70925894903748	1.9531745239190813e-20	513.204585732665	49.12508071197861	Summary Administration	DDX11L1, DDX11L17
example	White	Main speciality of consultant (recoded)	f.41245.0.0	rs6426192_2	685/969	17.82692045315179	1.489633899114881e-18	462.8363459782771	46.31171298722057	Summary Administration	DDX11L1, DDX11L17
example	White	Sources of admission to hospital (polymorphic)	f.41233.0.0	rs6426192_2	749/969	13.21941543702174	6.033711809756374e-14	9.746562664000844	1.2004704686933385	Summary Administration	DDX11L1, DDX11L17
example	White	History of psychiatric care on admission (polymorphic)	f.41218.0.0	rs6426192_2	659/969	11.949389447716923	1.1235969516630178e-12	2.8700372312984817	0.370694454678993	Summary Psychiatric	DDX11L1, DDX11L17
example	White	Administrative and legal statuses	f.41232.0.0	rs6426192_2	278/969	10.010834579503348	9.753610769060038e-11	3.816403375962565	0.4324210339952786	Summary Administration	DDX11L1, DDX11L17
example	White	Main speciality of consultant (recoded)	f.41245.0.2	rs6426192_2	324/969	8.294823003303838	5.0719737442511665e-09	538.8296176728645	78.79237812050327	Summary Administration	DDX11L1, DDX11L17
example	White	Methods of admission to hospital (polymorphic)	f.41212.0.0	rs6426192_2	756/969	8.042742511562722	9.062697590498482e-09	3.967360291227779	0.6582396082113982	Summary Administration	DDX11L1, DDX11L17
example	White	Treatment speciality of consultant (recoded)	f.41246.0.0	rs6426192_2	753/969	7.156450733005803	6.975081187236752e-08	730.6750862363781	130.31964546378717	Summary Administration	DDX11L1, DDX11L17
example	White	Patient classification on admission (recoded)	f.41247.0.0	rs6426192_2	744/969	6.52069853153751	3.015098248851268e-07	480.7798427561323	90.38176255964464	Summary Administration	DDX11L1, DDX11L17
example	White	Destinations on discharge from hospital (polymorphic)	f.41211.0.0	rs6426192_2	747/969	5.572208364111664	2.677883232198797e-06	5.345139754291155	1.1022161440075144	Summary Administration	DDX11L1, DDX11L17
example	White	Intended management of patient (polymorphic)	f.41206.0.2	rs6426192_2	195/969	5.028416029575493	9.366643055388987e-06	4.256548685356072	0.6308933735866905	Summary Administration	DDX11L1, DDX11L17
example	White	Methods of admission to hospital (recoded)	f.41249.0.1	rs6426192_2	536/969	4.855666110063707	1.3942282876443496e-05	527.3844953232659	116.38374410431872	Summary Administration	DDX11L1, DDX11L17
example	White	Intended management of patient (recoded)	f.41244.0.0	rs6426192_2	690/969	4.840653982702767	1.4432647920860212e-05	136.63606655899207	30.567049213620702	Summary Administration	DDX11L1, DDX11L17
example	White	Treatment speciality of consultant (recoded)	f.41246.0.1	rs6426192_2	550/969	4.404839460773887	3.93695580190636e-05	1109.2219825583609	259.53597287519113	Summary Administration	DDX11L1, DDX11L17
example	White	Patient classification on admission (polymorphic)	f.41209.0.0	rs6426192_2	744/969	3.691633879412196	0.0002034071058672	0.4455259597698111	0.1176038902488948	Summary Administration	DDX11L1, DDX11L17
example	White	Main speciality of consultant (polymorphic)	f.41207.0.2	rs6426192_2	326/969	3.608125808016659	0.0002465325069385	232.00882484825576	58.03008629043848	Summary Administration	DDX11L1, DDX11L17
example	White	Spells in hospital	f.41235.0.0	rs6426192_2	606/969	3.303013435811028	0.000497721686676	3.751310893092109	1.053028441482462	Summary Administration	DDX11L1, DDX11L17
example	White	Methods of discharge from hospital (polymorphic)	f.41213.0.0	rs6426192_2	755/969	2.986796887134933	0.0010308681289243	1.0759809488940346	0.3228027370090565	Summary Administration	DDX11L1, DDX11L17
example	White	Main speciality of consultant (recoded)	f.41245.0.3	rs6426192_2	217/969	2.5302101941844115	0.0029497812165247	517.8567093201883	151.94790579309165	Summary Administration	DDX11L1, DDX11L17
example	White	Intended management of patient (polymorphic)	f.41206.0.0	rs6426192_2	688/969	2.2740595827139853	0.0053203526207063	0.8122477475758184	0.2878991209011085	Summary Administration	DDX11L1, DDX11L17
example	White	Methods of admission to hospital (polymorphic)	f.41212.0.1	rs6426192_2	527/969	2.2038586310413	0.0062537622840024	5.678405016267687	2.040505199294858	Summary Administration	DDX11L1, DDX11L17
example	White	Methods of admission to hospital (recoded)	f.41249.0.2	rs6426192_2	307/969	2.0433027149079552	0.0090510150094285	786.8558235029699	287.81348050748005	Summary Administration	DDX11L1, DDX11L17
example	White	Carer support indicators	f.41214.0.0	rs6426192_2	654/969	1.819678314528948	0.015146827709283	23.206472963752866	9.452842006193636	Summary Psychiatric	DDX11L1, DDX11L17
example	White	Treatment speciality of consultant (recoded)	f.41246.0.3	rs6426192_2	259/969	1.6970111731149922	0.0200904112524633	1033.0691051738495	426.6464668521977	Summary Administration	DDX11L1, DDX11L17
example	White	Inpatient record format	f.41253.0.1	rs6426192_2	439/969	1.5497444883943678	0.0282004157870098	13.859677033887571	6.2169995724285565	Summary Administration	DDX11L1, DDX11L17
example	White	Intended management of patient (recoded)	f.41244.0.2	rs6426192_2	194/969	1.3453271093716483	0.0451515735897676	197.9127057237488	91.0812844351339	Summary Administration	DDX11L1, DDX11L17
example	White	Carer support indicators	f.41214.0.1	rs6426192_2	179/969	1.0864585065643786	0.0819485914899715	41.95450555185331	22.77138488541781	Summary Psychiatric	DDX11L1, DDX11L17
example	White	Inpatient record format	f.41253.0.2	rs6426192_2	154/969	1.0730990072863016	0.0845086166621965	61.94475993049473	24.365535777998083	Summary Administration	DDX11L1, DDX11L17
example	White	Reported occurrences of cancer	f.40009.0.0	rs6426192_2	171/969	1.008941383504383	0.0979622195573898	1.1306877090990526	0.630120370208186	Cancer register	DDX11L1, DDX11L17
example	White	Main speciality of consultant (polymorphic)	f.41207.0.1	rs6426192_2	505/969	0.776092211100718	0.1674587283364551	42.11792939878547	30.33372974110585	Summary Administration	DDX11L1, DDX11L17
example	White	Treatment speciality of consultant (recoded)	f.41246.0.2	rs6426192_2	362/969	0.681345850299726	0.2082831560103416	469.6706416730799	370.2814898900782	Summary Administration	DDX11L1, DDX11L17
example	White	Intended management of patient (polymorphic)	f.41206.0.1	rs6426192_2	436/969	0.6460712632390369	0.2259065050563262	1.0447530508944158	0.857197882382246	Summary Administration	DDX11L1, DDX11L17
example	White	Methods of discharge from hospital (recoded)	f.41250.0.1	rs6426192_2	169/969	0.5962495771460655	0.2533672180026897	1413.303428279841	1172.5501146583415	Summary Administration	DDX11L1, DDX11L17
example	White	Methods of discharge from hospital (polymorphic)	f.41213.0.1	rs6426192_2	166/969	0.5919901188119794	0.2558644101220773	1.514788420632344	1.2907573200349527	Summary Administration	DDX11L1, DDX11L17
example	White	Treatment speciality of consultant (recoded)	f.41246.0.4	rs6426192_2	167/969	0.5721632826725592	0.2678161221215137	332.91434890260643	279.5421004012581	Summary Administration	DDX11L1, DDX11L17
example	White	Inpatient record format	f.41253.0.0	rs6426192_2	756/969	0.5295303998909653	0.2954402078012587	2.8341079236650657	2.701126694172696	Summary Administration	DDX11L1, DDX11L17
example	White	Destinations on discharge from hospital (recoded)	f.41248.0.1	rs6426192_2	176/969	0.5061586548704924	0.3117750410859031	2688.3976027826184	2523.548096541392	Summary Administration	DDX11L1, DDX11L17
example	White	Behaviour of cancer tumour	f.40012.0.0	rs6426192_2	161/969	0.4654248221628411	0.3424326587425453	0.571383059650328	0.5543718484995502	Cancer register	DDX11L1, DDX11L17
example	White	Methods of admission to hospital (recoded)	f.41249.0.3	rs6426192_2	160/969	0.4241155103866015	0.3766036194579801	670.8198485656508	728.0379542347733	Summary Administration	DDX11L1, DDX11L17
example	White	Destinations on discharge from hospital (polymorphic)	f.41211.0.1	rs6426192_2	182/969	0.3949792293586777	0.4027362951990176	25.861011015794634	29.81446176856625	Summary Administration	DDX11L1, DDX11L17
example	White	Cancer record format	f.40019.0.0	rs6426192_2	169/969	0.3262576144143909	0.4717831063627362	3.2605417255704747	4.423980836728868	Cancer register	DDX11L1, DDX11L17
example	White	Main speciality of consultant (polymorphic)	f.41207.0.4	rs6426192_2	131/969	0.3114533957484716	0.4881424811311246	-215.95626521523	256.2892895963697	Summary Administration	DDX11L1, DDX11L17
example	White	Intended management of patient (recoded)	f.41244.0.1	rs6426192_2	426/969	0.3092174712334631	0.4906621175237353	58.485020447657845	84.4662583248043	Summary Administration	DDX11L1, DDX11L17
example	White	Main speciality of consultant (polymorphic)	f.41207.0.3	rs6426192_2	220/969	0.0047874256798469	0.9890370806344012	1.095239118158052	79.12534759470759	Summary Administration	DDX11L1, DDX11L17
example	White	Calcium	f.30680.0.0	rs6426192_2	789/969	111.09944935863082	7.9533600112538645e-112	0.9342803925790708	0.019437955669725	Blood biochemistry	DDX11L1, DDX11L17
example	White	Total protein	f.30860.0.0	rs6426192_2	787/969	88.77006160529878	1.6980027712347886e-89	29.18001763042658	0.7923039138638658	Blood biochemistry	DDX11L1, DDX11L17
example	White	Albumin	f.30600.0.0	rs6426192_2	785/969	85.18466053124641	6.536412754399735e-86	18.40202680468025	0.5299620429647742	Blood biochemistry	DDX11L1, DDX11L17
example	White	Phosphate	f.30810.0.0	rs6426192_2	780/969	40.16908490352139	6.77509043282657e-41	0.4586400043463868	0.027042292261385	Blood biochemistry	DDX11L1, DDX11L17
example	White	Apolipoprotein A	f.30630.0.0	rs6426192_2	777/969	26.7953990425498	1.6017729582076922e-27	0.6179952224813157	0.0488106675245724	Blood biochemistry	DDX11L1, DDX11L17
example	White	Cholesterol	f.30690.0.0	rs6426192_2	860/969	24.82919884395303	1.4818394620144922e-25	2.4707054751589927	0.2080157310851119	Blood biochemistry	DDX11L1, DDX11L17
example	White	Cystatin C	f.30720.0.0	rs6426192_2	860/969	22.14328502361365	7.189769649312441e-23	0.3635385992274804	0.0328420074362973	Blood biochemistry	DDX11L1, DDX11L17
example	White	Urea	f.30670.0.0	rs6426192_2	863/969	21.055157353533648	8.807297092908277e-22	2.400597975171919	0.2248168691044422	Blood biochemistry	DDX11L1, DDX11L17
example	White	Glycated haemoglobin (HbA1c)	f.30750.0.0	rs6426192_2	854/969	20.711691161890165	1.942266582926993e-21	12.52106403609324	1.184339267990754	Blood biochemistry	DDX11L1, DDX11L17
example	White	Glucose	f.30740.0.0	rs6426192_2	781/969	18.544327745399	2.8554348428378133e-19	2.077479680077418	0.2082009015362268	Blood biochemistry	DDX11L1, DDX11L17
example	White	LDL direct	f.30780.0.0	rs6426192_2	859/969	17.783285939981464	1.6470775966842486e-18	1.4807196732946797	0.154308810165456	Blood biochemistry	DDX11L1, DDX11L17
example	White	Urate	f.30880.0.0	rs6426192_2	860/969	15.379607426011358	4.172463766653832e-16	123.89219852675504	14.09991263438	Blood biochemistry	DDX11L1, DDX11L17
example	White	Apolipoprotein B	f.30640.0.0	rs6426192_2	854/969	14.705704213342074	1.9692270223110414e-15	0.3736620490653554	0.0437302107700725	Blood biochemistry	DDX11L1, DDX11L17
example	White	HDL cholesterol	f.30760.0.0	rs6426192_2	782/969	13.635116449563556	2.3167733585852163e-14	0.587024525356262	0.0709996989890787	Blood biochemistry	DDX11L1, DDX11L17
example	White	Creatinine	f.30700.0.0	rs6426192_2	862/969	13.402390879888156	3.959215309271253e-14	26.35895622232496	3.264493264018544	Blood biochemistry	DDX11L1, DDX11L17
example	White	IGF-1	f.30770.0.0	rs6426192_2	854/969	12.26438918190506	5.440149292636075e-13	8.194541133300046	1.0665778870619844	Blood biochemistry	DDX11L1, DDX11L17
example	White	Alkaline phosphatase	f.30610.0.0	rs6426192_2	859/969	10.85276954412801	1.403558297135146e-11	28.14128437668688	3.950239027665861	Blood biochemistry	DDX11L1, DDX11L17
example	White	Aspartate aminotransferase	f.30650.0.0	rs6426192_2	859/969	9.172053892559846	6.728931503085033e-10	10.593734600627174	1.6405778794557486	Blood biochemistry	DDX11L1, DDX11L17
example	White	Direct bilirubin	f.30660.0.0	rs6426192_2	766/969	7.168948279697364	6.777222130129429e-08	0.8178594647603928	0.1458354091225238	Blood biochemistry	DDX11L1, DDX11L17
example	White	Vitamin D	f.30890.0.0	rs6426192_2	819/969	5.295664978757126	5.062150132361488e-06	18.70566694580299	3.991446592328861	Blood biochemistry	DDX11L1, DDX11L17
example	White	SHBG	f.30830.0.0	rs6426192_2	775/969	5.079831683403254	8.320861946791845e-06	25.20488425631111	5.499084716172921	Blood biochemistry	DDX11L1, DDX11L17
example	White	Alanine aminotransferase	f.30620.0.0	rs6426192_2	860/969	3.6434944852165927	0.0002272508491986	9.546530725312106	2.547597466448904	Blood biochemistry	DDX11L1, DDX11L17
example	White	Total bilirubin	f.30840.0.0	rs6426192_2	859/969	3.569544136365708	0.0002694361496572	2.832156893468955	0.7651085288652213	Blood biochemistry	DDX11L1, DDX11L17
example	White	Testosterone	f.30850.0.0	rs6426192_2	770/969	3.022472022445846	0.0009495721693348	3.806881561466856	1.133979381001446	Blood biochemistry	DDX11L1, DDX11L17
example	White	Triglycerides	f.30870.0.0	rs6426192_2	861/969	2.127377549428171	0.0074580012286459	0.4426014634657751	0.1638980721997783	Blood biochemistry	DDX11L1, DDX11L17
example	White	Gamma glutamyltransferase	f.30730.0.0	rs6426192_2	858/969	1.255987742733805	0.055464136660128	12.92756292050622	6.713603554274261	Blood biochemistry	DDX11L1, DDX11L17
example	White	C-reactive protein	f.30710.0.0	rs6426192_2	861/969	0.7593834756576493	0.1740269562281251	1.0472654378482007	0.7679627130334635	Blood biochemistry	DDX11L1, DDX11L17
example	White	Lipoprotein A	f.30790.0.0	rs6426192_2	692/969	0.2722570596770537	0.5342480434241383	-5.398824712485154	8.66836993847004	Blood biochemistry	DDX11L1, DDX11L17
