PheWAS_Category	Ethnicity	Description	Data_Field	rsID	Samples	-log(p)	p-val	beta	std_error	Category	Gene
example	White	Impedance of leg (left)	f.23108.0.0	rs6426192	903/969	33.28707466681533	5.1632759114386725e-34	99.4978036494402	6.925808581821212	Body composition by impedance	DDX11L1, DDX11L17
example	White	Body mass index (BMI)	f.21001.0.0	rs6426192	914/969	32.585160183656264	2.599200706256613e-33	11.282864827556851	0.7987674203656006	Body size measures	DDX11L1, DDX11L17
example	White	Systolic blood pressure, automated reading	f.4080.0.1	rs6426192	846/969	32.36039625375482	4.3611773334947395e-33	57.00411162062001	3.992729904156496	Blood pressure	DDX11L1, DDX11L17
example	White	Whole body water mass	f.23102.0.0	rs6426192	903/969	26.71323992749007	1.9353524763769337e-27	18.684165206081516	1.5089893132170815	Body composition by impedance	DDX11L1, DDX11L17
example	White	Pulse rate, automated reading	f.102.0.1	rs6426192	846/969	26.471453357557344	3.377121163655599e-27	26.161717472087	2.098783590354169	Blood pressure	DDX11L1, DDX11L17
example	White	Impedance of arm (right)	f.23109.0.0	rs6426192	903/969	25.03709670020696	9.181281428924884e-26	115.56536398749512	9.737685005753177	Body composition by impedance	DDX11L1, DDX11L17
example	White	Leg predicted mass (left)	f.23118.0.0	rs6426192	903/969	21.86902450831203	1.3519962645474651e-22	3.5558057288657485	0.3266500757181225	Body composition by impedance	DDX11L1, DDX11L17
example	White	Trunk fat-free mass	f.23129.0.0	rs6426192	903/969	21.849852035876584	1.4130188781333467e-22	12.104082446165268	1.1130704268673284	Body composition by impedance	DDX11L1, DDX11L17
example	White	Weight	f.21002.0.0	rs6426192	914/969	21.766987705984317	1.7100637229184854e-22	28.72944328406197	2.65314031472763	Body size measures	DDX11L1, DDX11L17
example	White	Trunk predicted mass	f.23130.0.0	rs6426192	903/969	21.263639718980176	5.449545475187832e-22	10.434242793307297	0.9761727361754714	Body composition by impedance	DDX11L1, DDX11L17
example	White	Leg fat-free mass (left)	f.23117.0.0	rs6426192	904/969	20.12090831499901	7.569926887846713e-21	3.3937554196266264	0.3288631137929643	Body composition by impedance	DDX11L1, DDX11L17
example	White	Trunk fat percentage	f.23127.0.0	rs6426192	902/969	19.903897463970974	1.2476780536796742e-20	13.852143447192129	1.3525596320896718	Body composition by impedance	DDX11L1, DDX11L17
example	White	Leg predicted mass (right)	f.23114.0.0	rs6426192	903/969	19.71088539458269	1.9458735079559192e-20	3.3040806586493208	0.3243178496986698	Body composition by impedance	DDX11L1, DDX11L17
example	White	Leg fat-free mass (right)	f.23113.0.0	rs6426192	905/969	19.529965176898973	2.951445873415687e-20	3.6277004844376206	0.3581359018527277	Body composition by impedance	DDX11L1, DDX11L17
example	White	Method of measuring blood pressure	f.4081.0.1	rs6426192	914/969	19.11472414447241	7.678490574967749e-20	0.4304003117320247	0.0431131414924917	Blood pressure	DDX11L1, DDX11L17
example	White	Arm fat-free mass (left)	f.23125.0.0	rs6426192	903/969	18.59585932437078	2.5359499363073164e-19	1.3276086219859031	0.1350611098807116	Body composition by impedance	DDX11L1, DDX11L17
example	White	Forced vital capacity (FVC)	f.3062.0.0	rs6426192	834/969	17.492504841507383	3.217326665793578e-18	1.698183395720858	0.1781193369931227	Spirometry	DDX11L1, DDX11L17
example	White	Arm predicted mass (left)	f.23126.0.0	rs6426192	904/969	16.27994928932094	5.24868743313725e-17	1.22343796438925	0.1351443628893964	Body composition by impedance	DDX11L1, DDX11L17
example	White	Whole body fat-free mass	f.23101.0.0	rs6426192	904/969	15.919191738657924	1.2045040409648486e-16	17.375563472259497	1.9450305021260528	Body composition by impedance	DDX11L1, DDX11L17
example	White	Method of measuring blood pressure	f.4081.0.0	rs6426192	915/969	15.43196133227168	3.6986110916993073e-16	0.475670694514695	0.0543108963851532	Blood pressure	DDX11L1, DDX11L17
example	White	Forced expiratory volume in 1-second (FEV1)	f.3063.0.1	rs6426192	831/969	15.350108283297711	4.465722337408769e-16	1.2868860168127532	0.1460282693345594	Spirometry	DDX11L1, DDX11L17
example	White	Body fat percentage	f.23099.0.0	rs6426192	905/969	14.590578562722222	2.5669738073358602e-15	13.521486729980271	1.5945293914385918	Body composition by impedance	DDX11L1, DDX11L17
example	White	Arm fat-free mass (right)	f.23121.0.0	rs6426192	903/969	13.252534047127636	5.590696967961352e-14	1.1969852833863506	0.1496241806471628	Body composition by impedance	DDX11L1, DDX11L17
example	White	Weight method	f.21.0.0	rs6426192	915/969	12.967494673008716	1.0777184727471565e-13	0.4514786664973017	0.0572018944493322	Body size measures	DDX11L1, DDX11L17
example	White	Whole body fat mass	f.23100.0.0	rs6426192	904/969	11.288701482402894	5.1439710720387986e-12	11.640547502498956	1.6004640649888884	Body composition by impedance	DDX11L1, DDX11L17
example	White	Forced vital capacity (FVC)	f.3062.0.1	rs6426192	834/969	11.099431896862146	7.953679800085017e-12	1.2990727111170364	0.1794794500309664	Spirometry	DDX11L1, DDX11L17
example	White	Leg fat percentage (left)	f.23115.0.0	rs6426192	903/969	10.756351905689504	1.752459920729239e-11	14.18018129124227	2.0047009945909697	Body composition by impedance	DDX11L1, DDX11L17
example	White	Peak expiratory flow (PEF)	f.3064.0.0	rs6426192	831/969	10.257423857016654	5.528103213041445e-11	170.50816961349636	24.657299436487584	Spirometry	DDX11L1, DDX11L17
example	White	Forced expiratory volume in 1-second (FEV1)	f.3063.0.0	rs6426192	832/969	10.143966242436852	7.178500873472552e-11	0.978675048698848	0.1427122222047954	Spirometry	DDX11L1, DDX11L17
example	White	Hand grip strength (right)	f.47.0.0	rs6426192	913/969	9.66265920978595	2.1744067632446222e-10	12.787346068097309	1.9277779402483672	Hand grip strength	DDX11L1, DDX11L17
example	White	Trunk fat mass	f.23128.0.0	rs6426192	902/969	9.661544317772474	2.1799959271866136e-10	5.851652024788931	0.8820702630836242	Body composition by impedance	DDX11L1, DDX11L17
example	White	Leg fat mass (left)	f.23116.0.0	rs6426192	905/969	9.135135888639624	7.325952717616133e-10	2.25371926549062	0.3509311589522804	Body composition by impedance	DDX11L1, DDX11L17
example	White	Arm predicted mass (right)	f.23122.0.0	rs6426192	904/969	8.242899710119037	5.716106211776208e-09	0.8468692011251973	0.1400156173351592	Body composition by impedance	DDX11L1, DDX11L17
example	White	Arm fat percentage (left)	f.23123.0.0	rs6426192	903/969	8.115774206890727	7.659947500851308e-09	10.6797076957402	1.7823865375211805	Body composition by impedance	DDX11L1, DDX11L17
example	White	Pulse rate	f.4194.0.0	rs6426192	290/969	8.02744082172368	9.387699475823916e-09	22.089035066405312	3.2785263524958896	Arterial stiffness	DDX11L1, DDX11L17
example	White	Arm fat percentage (right)	f.23119.0.0	rs6426192	903/969	7.956003666242029	1.1066144420825416e-08	11.063310927723215	1.8673912579582217	Body composition by impedance	DDX11L1, DDX11L17
example	White	Forced vital capacity (FVC)	f.3062.0.2	rs6426192	620/969	7.919468482402207	1.2037367441452625e-08	1.3601575600420053	0.2251830819713632	Spirometry	DDX11L1, DDX11L17
example	White	Forced expiratory volume in 1-second (FEV1)	f.3063.0.2	rs6426192	631/969	7.756981020458677	1.749923162111267e-08	0.991176041900775	0.1666740278677345	Spirometry	DDX11L1, DDX11L17
example	White	Hand grip strength (left)	f.46.0.0	rs6426192	913/969	6.634055581905725	2.322439546721219e-07	11.253897659879827	2.1132431152729603	Hand grip strength	DDX11L1, DDX11L17
example	White	Leg fat percentage (right)	f.23111.0.0	rs6426192	905/969	6.252366626844233	5.592852594030698e-07	9.870151982237797	1.9174726719355808	Body composition by impedance	DDX11L1, DDX11L17
example	White	Leg fat mass (right)	f.23112.0.0	rs6426192	903/969	5.642354065492054	2.2784837444326744e-06	1.5753152948544782	0.3250435284184539	Body composition by impedance	DDX11L1, DDX11L17
example	White	Arm fat mass (left)	f.23124.0.0	rs6426192	903/969	5.261450901305235	5.4770801800174905e-06	0.4392680230489347	0.0944147425537872	Body composition by impedance	DDX11L1, DDX11L17
example	White	Arm fat mass (right)	f.23120.0.0	rs6426192	903/969	4.9779979938124645	1.0519667332855502e-05	0.5298625553361752	0.1176491261898229	Body composition by impedance	DDX11L1, DDX11L17
example	White	Peak expiratory flow (PEF)	f.3064.0.1	rs6426192	833/969	4.893603364261165	1.2776050969676357e-05	107.1775172492564	23.98390284442579	Spirometry	DDX11L1, DDX11L17
example	White	Peak expiratory flow (PEF)	f.3064.0.2	rs6426192	624/969	4.3285002359458336	4.693531793244154e-05	137.90125996814774	32.84961618191902	Spirometry	DDX11L1, DDX11L17
example	White	Overall acceleration average	f.90012.0.0	rs6426192	201/969	1.3408864608995987	0.0456156154836862	13.594038662965996	6.376886381142697	Acceleration averages	DDX11L1, DDX11L17
example	White	Heel bone mineral density (BMD) T-score, automated	f.78.0.0	rs6426192	529/969	0.6595764448258379	0.2189896327021017	-0.3630304289649045	0.2938389122261806	Bone-densitometry of heel	DDX11L1, DDX11L17
example	White	Heel bone mineral density (BMD) T-score, automated (left)	f.4106.0.0	rs6426192	275/969	0.3618177705213796	0.4346925824313916	0.3026299359634996	0.3826757732637896	Bone-densitometry of heel	DDX11L1, DDX11L17
example	White	Heel bone mineral density (BMD) T-score, automated (right)	f.4125.0.0	rs6426192	276/969	0.2926806676737792	0.5097055145979648	0.3816651861938084	0.5727992097007103	Bone-densitometry of heel	DDX11L1, DDX11L17
example	White	Pulse wave Arterial Stiffness index	f.21021.0.0	rs6426192	293/969	0.2354084405893021	0.5815560249655018	0.819703112665287	1.476834441122021	Arterial stiffness	DDX11L1, DDX11L17
